text,emotion
parfait,joie
enchanté madame Beauvais beau prénom,joie
mardi la semaine prochaine,surprise
allez-y donnez on va voir, neutre
alors déjà deux mai dans l'après-midi mon collègue peut déjà passer chez vous pour vous réparer votre pare-brise, neutre
je suppose que vous avez un espace qui pourra permettre au technicien de garer sa camionnette ouvrir les deux portières de votre véhicule et circuler librement, neutre
dans le garage c'est ça, neutre
d'accord donc vous avez également un abri c'est bien ça ?, neutre
mais c'est à dire que ça va pas péter avant mon pare-brise ?,peur
très bien,joie
d'accord alors dites-moi ce petit point dont vous parlez fissure comprise en centimètres d'accord il est inférieur à une pièce de deux euros ou il est supérieur ?, neutre
d'accord alors je vous expliquais tout à l'heure que votre pare-brise me paraît réparable, neutre
c'est déjà une bonne chose,joie
c'est parfait,joie
ils m'ont gonflé ma ma cotisation on va être clair hein donc euh j'ai pas envie de faire passer ça pour qu'ils me re-rajoutent encore une sauce sinon ça va me coûter plus cher que de réparer la l'impact moi-même,colère
alors écoutez bon ça ça ne sera pas possible,colère
merci beaucoup,joie
c'est très bien,joie
la bonne nouvelle c'est que l'impact il est réparable,joie
c'est tout bon,joie
c'est bien précis,joie
ça c'est tout bon,joie
c'est niet,colère
je peux pas me re peux me permettre d'être six mois sans un remboursement de facture quoi,peur
t'aurais pas dû j'aurais pas dû dire ça,colère
sinon il v a y avoir un rendez-vous pour rien,colère
excusez-moi mais on entendez très très mal au téléphone je comprenais rien du tout,colère
bien merci beaucoup,joie
bonne nouvelle,joie
ben moi je vois neuf heures treize heures donc c'est pour ça je comprends pas,surprise
d'une magnifique Mercedes GLA,joie
malheureusement,tristesse
oui mais euh pff c'est c'est le truc euh oui que oui j'ai passé au plus vite euh parce que ce qui est robotique en téléphonie c'est hein hein c'est la misère malheureusement,colère
je suis allergique à ces trucs-là,colère
oh faut que je descende voir à la voiture alors bon,colère
j'en sais rien moi,peur
ouh là là là là là,colère
enfin je connais il y a que des magasins mais je connais pas tout mais,peur
au purée bah alors làrouais d'accord,colère
c'est un un lave-vitre qui ne me parle pas donc euh il vous cassera pas les pieds,dégoût
je vais avoir gagner le gros lot ah j'ai gagné le gros lot ah bah alors là ça <noise> bon j'ai le droit de nettoyer mes vitres,joie
bon bah impeccable,joie
je vous souhaite une excellente fin de journée,joie
oui nan mais après je suis je suis d'accord avec vous mais le problème,peur
ah oui oui voilà,joie
après je après y a pas de y a pas de souci,peur
rassurez-vous rassurez-vous,joie
ben pourtant pourtant,tristesse
haha très bien,joie
c'est bien ça parfait,joie
ah ça tombe bien,joie
c'est super,joie
parfait parfait,joie
d'accord parfait,joie
bonne nouvelle sur ce vous n'avez absolument rien à régler,joie
génial,joie
