tristesse,peur,colère,neutre,surprise,joie,input
0,0,0,0,0,1,je vais avoir gagner le gros lot ah j'ai gagné le gros lot ah bah alors là ça <noise> bon j'ai le droit de nettoyer mes vitres
0,0,0,0,0,1,bon bah impeccable
0,0,0,0,0,1,je vous souhaite une excellente fin de journée
0,1,0,0,0,0,oui nan mais après je suis je suis d'accord avec vous mais le problème
0,0,0,0,0,1,ah oui oui voilà
0,1,0,0,0,0,après je après y a pas de y a pas de souci
0,0,0,0,0,1,rassurez-vous rassurez-vous
1,0,0,0,0,0,ben pourtant pourtant
0,0,0,0,0,1,haha très bien
0,0,0,0,0,1,c'est bien ça parfait
0,0,0,0,0,1,ah ça tombe bien
0,0,0,0,0,1,c'est super
0,0,0,0,0,1,parfait parfait
0,0,0,0,0,1,d'accord parfait
0,0,0,0,0,1,bonne nouvelle sur ce vous n'avez absolument rien à régler
0,0,0,0,0,1,génial
0,0,0,1,0,0,d'accord je vais vous prendre un rendez-vous là tout de suite je vous prie de me communiquer votre nom et prénom
0,0,0,1,0,0,alors oui soit vous passez en centre soit mon collègue il vient chez vous
0,0,0,0,0,1,parfait bah parfait
0,0,0,0,0,1,parfait super
0,0,0,0,0,1,parfait merci beaucoup
0,0,0,0,0,1,c'est bien ça parfait là c'est parfait c'est bon c'est bon là je viens de le corriger c'est parfait
0,0,0,0,0,1,super
0,0,0,0,0,1,vous souhaite une agréable journée merci beaucoup
0,0,0,0,0,1,très bien très bien
0,0,0,0,0,1,je vous remercie beaucoup
0,0,0,0,0,1,avec un grand plaisir
0,0,0,0,0,1,merci bien
1,0,0,0,0,0,là malheureusement cette intervention ce fait enfin cette promotion se fait uniquement si on change le pare-brise
1,0,0,0,0,0,après moi personnellement je peux rien faire
1,0,0,0,0,0,bon ben écoutez comme vous voulez hein
0,0,1,0,0,0,parce que ça fait deux fois même que ça fait trois fois que j'ai essayé de vous appeler
0,0,1,0,0,0,ce ce fixe marche mal
0,0,1,0,0,0,c'est complètement dans les choux
0,0,1,0,0,0,ça fait deux fois suivant que vous vous trompez voilà
0,0,1,0,0,0,il va y avoir des problèmes le parasite parce que je je peux pas arriver à vous comprendre là
0,0,1,0,0,0,il y a une erreur c'est sûr qu'il y a une erreur c'est sûr
0,0,1,0,0,0,mais madame je vous confirme pas
0,0,1,0,0,0,ben c'est une erreur et ben c'est une erreur madame vous avez commis une erreur
0,1,0,0,0,0,ah non je l'ai pas je veux pas je vais pas
0,0,1,0,0,0,vous voulez quoi que je oh il faut il faut il faut le refaire avoir un certificat euh un secrétariat qui fonctionne
0,0,1,0,0,0,j'ai pas d'autre chose à j'ai pas d'autre chose à vous donner comme renseignements vous avez tout tout tout
0,1,0,0,0,0,non non non bah non j'ai rien avec moi là non je suis dans la rue
0,0,0,0,0,1,ouais super
0,0,1,0,0,0,donc Audi lui ont dit que n'importe quoi qu’ils étaient pas partenaires que c'était ils étaient pas là enfin qu’ils étaient pas là pour changer des pare-brise Audi que c'était et caetera enfin voilà ils ont vraiment cassé du sucre derrière l’agence
0,0,1,0,0,0,donc au début ben il était un peu remonté
0,0,1,0,0,0,et qu’en aucun cas il avait dit qu'ils étaient partenaires ou quoi que ce soit
0,0,1,0,0,0,et puis là je il a il rappelle ce matin super énervé
0,0,1,0,0,0,on m’a encore fait payer une facture de diagnostic
0,0,1,0,0,0,un jour au mois d'août bah donnez j- j- donnez-moi une date
0,0,1,0,0,0,ça vous parez des lettres un peu chiant
0,0,0,0,0,0,soyez sympa
0,0,0,0,0,1,qu'ils vont être au minimum <noise> et sympathique et pas trop vous embêter
0,1,0,0,0,0,euh alors moi je suis pas de la région
0,1,0,0,0,0,parce que moi je ne suis pas du tout sur Sainte
0,0,0,0,0,1,pas de souci
0,1,0,0,0,0,après le reste de la france c'est un peu compliqué pour moi
0,0,1,0,0,0,putain merde
1,0,0,0,0,0,c'est pas bien grave
0,0,1,0,0,0,j'ai rien pour noter là
0,0,1,0,0,0,euh oui oui attendez attendez oui mais attendez je vous explique
0,0,1,0,0,0,résultat des courses j’ai quoi que dalle je rappelle le service facturation là j'ai passé près de sept minutes donc moi étant donné que Carglass n'est pas honnête ne veut pas m'envoyer la facture comme quoi j'ai payé
0,0,1,0,0,0,parce qu'elle travaille à la mairie euh la même mairie que moi elle est élue haut placé donc si vous avez de quoi noter c’est maître Ceperreau Marie-Estelle c’est une avocate
0,0,1,0,0,0,je lui ai expliqué que ça faisait trois fois que je vous appelais ça répond pas personne veut me délivrer le document que j'ai droit
0,0,1,0,0,0,il est quand même quatre heures et quart j'ai toujours rien donc euh là je suis devant l'ordinateur je veux j'aimerais savoir si vous allez me l'envoyer parce que je vous le dis honnêtement mon avocate est prêt à vous envoyer un courrier euh assez salé
0,1,0,0,0,0,je sais pas je je je sais pas je sais pas
0,1,0,0,0,0,moi j'ai moi j'ai pas à mon niveau j'ai pas les j'ai pas les infos à mon niveau
0,0,0,0,0,1,ok d'accord très bien
0,1,0,0,0,0,parce que je je sais pas ce que je sais pas
0,0,1,0,0,0,ah ouais vous avez d'autres cli- vous avez d'autres clients dans ce cas-là je sais pas mais ne dites pas des choses que vous êtes pas capable de faire ben écoutez non non moi ce que je vais faire écoutez ce que je vais faire non non ce que je vais faire voilà moi ce que ce que je vais faire vous embêtez pas faites-le pas je vais avertir maître Ceperreau
0,0,1,0,0,0,je vais lui dire que vous refusez je vais lui dire que vous refusez de m'envoyer la facture voilà
0,0,1,0,0,0,on ne refuse pas monsieur je toute façon tous nos appels sont enregistrés monsieur donc il y a pas de problème hein y a pas de problème monsieur bah vous pouvez dire que je qu'on refuse mais c'est pas le cas on refuse pas je fais le nécessaire auprès de auprès non je fais le nécessaire je fais le nécessaire auprès du centre monsieur je peux pas vous dire plus
0,0,1,0,0,0,je peux pas le faire à mon niveau je peux pas le faire j'ai pas la main
0,0,1,0,0,0,donc dans dans dans ce cas-là ouais bah dans ce cas-là vos collègues faut que voilà faut qu'elles arrêtent de mentir au téléphone quoi faut qu'elles arrêtent de mentir bah si c'est des excusez-moi mais c'est des mensonges 
0,0,1,0,0,0,quand j'arrive il est quatre heures et quart j'ai rien du tout excusez-moi si c'est pas des mensonges je sais pas ce qu'il vous faut hein
0,0,1,0,0,0,elle fait que rouspéter quand quand je je touche les lignes
0,1,0,0,0,0,ah non non vendredi matin c'est pas possible euh attendez bougez pas je regarde
0,0,1,0,0,0,putain la bagnole elle est toute neuve bah je dis fait chier quoi
1,0,0,0,0,0,ça vous retourne hein
0,0,0,0,0,1,vous les vous voyez ce que je veux dire
0,0,1,0,0,0,pff non mais ouais ça je ouais
0,0,1,0,0,0,ils prennent rien ils cassent pour le plaisir ils cassent pour euh comme ça
0,0,0,0,1,0,oh ça fait loin
0,1,0,0,0,0,ah je sais pas si c'est pa- si c'est possible
0,0,0,0,0,1,je fais ça si c'est pas gênant
0,0,1,0,0,0,roh
0,0,0,0,1,0,ah si ah non
0,0,1,0,0,0,ah pff ouais c'est chian
1,0,0,0,0,0,ça va tout me chambouler je suis désolée
0,1,0,0,0,0,ah euh parce que oui sinon on aurait mis euh
0,1,0,0,0,0,bon bah je sais pas
0,0,1,0,0,0,je vais essayer de me débrouiller avec lui hein
0,0,1,0,0,0,euh ouais ça va être chiant
0,0,1,0,0,0,ils ont pas de dispo de toute façon
0,0,1,0,0,0,ah c'est vrai que c'est infernal
0,0,0,0,0,0,je ne connais même pas votre nom
0,0,1,0,0,0,bah oui votre nom à vous-même
0,0,1,0,0,0,bon bah je vais vous dire il y a à peu près une demi-heure que je que je suis dans un bourrier complète entre mon téléphone fixe ainsi que le portable
0,0,0,0,0,1,votre collègue euh secrétaire aussi a été charmante
0,0,1,0,0,0,ça va pas du tout c'est le bordel comme on dit grossièrement en France
0,0,1,0,0,0,c'est une grosse erreur ça fait quatre ou cinq fois que ça ressort que ça se reproduit avec votre service et je voudrais enfin y voir clair voilà
0,0,1,0,0,0,vous avez tout ce qu'il faut pour trouver le dossier et enfin y voir clair avec vous
0,0,1,0,0,0,et bah écoutez bah c'est une grosse erreur je vais vous dire
0,0,0,1,0,0,bien sûr qu'est-ce que vous avez exactement ?
